department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
Procurement,27,Masters & above,m,sourcing,1,38,5.0,13,1,0,67
Finance,31,Bachelors,m,sourcing,1,29,4.0,6,0,0,60
Procurement,15,Bachelors,f,other,1,40,3.0,7,0,0,69
Procurement,17,Masters & above,f,other,2,35,3.0,4,1,0,65
Technology,22,Bachelors,m,other,1,31,4.0,3,1,0,81
Sales & Marketing,10,Masters & above,m,other,1,30,4.0,2,0,0,49
Operations,19,Bachelors,m,other,1,45,5.0,13,1,0,62
HR,7,Masters & above,m,other,1,39,5.0,9,1,0,47
Operations,7,Bachelors,m,sourcing,1,35,5.0,10,1,0,62
Operations,2,Bachelors,m,other,1,54,5.0,17,0,0,57
Technology,27,Bachelors,f,other,2,26,3.0,3,0,0,85
Technology,5,Bachelors,m,sourcing,1,30,1.0,2,0,0,83
Operations,2,Bachelors,m,other,1,36,3.0,2,1,0,55
Technology,27,Bachelors,m,other,1,29,5.0,4,1,0,77
R&D,4,Masters & above,m,sourcing,1,37,4.0,2,0,0,84
Operations,16,Bachelors,m,other,1,37,3.0,2,1,0,59
Analytics,10,Bachelors,m,other,1,27,3.0,2,1,0,82
Technology,7,Bachelors,m,other,1,29,4.0,3,1,0,83
Sales & Marketing,23,Bachelors,m,sourcing,1,37,3.0,8,0,0,49
Sales & Marketing,26,Bachelors,m,sourcing,3,40,3.0,10,0,0,51
Technology,7,Masters & above,m,sourcing,1,37,3.0,10,0,0,81
Sales & Marketing,31,Bachelors,m,sourcing,2,33,3.0,9,0,0,47
Sales & Marketing,17,Bachelors,m,other,1,26,3.0,3,0,0,43
Operations,25,Bachelors,f,sourcing,1,27,5.0,3,1,0,60
Operations,19,Bachelors,m,other,1,36,4.0,4,1,0,58
R&D,22,Masters & above,m,other,2,33,3.0,9,1,0,90
Procurement,2,Masters & above,m,sourcing,1,44,1.0,5,0,0,74
Procurement,14,Bachelors,f,other,1,29,5.0,2,1,0,70
Sales & Marketing,15,Masters & above,m,other,2,35,3.0,3,0,0,53
Technology,27,Bachelors,m,other,1,44,1.0,4,1,0,79
Sales & Marketing,25,Bachelors,m,sourcing,2,29,3.0,6,0,0,47
Operations,14,Bachelors,m,sourcing,1,30,3.0,2,1,0,58
Procurement,2,Masters & above,f,other,1,40,5.0,11,1,0,72
Analytics,31,Masters & above,m,other,1,37,3.0,9,0,0,83
Operations,7,Masters & above,m,other,1,38,3.0,4,0,0,64
Operations,22,Masters & above,f,other,1,50,4.0,17,0,0,59
Sales & Marketing,2,Masters & above,m,other,1,37,1.0,12,0,0,48
Analytics,14,Bachelors,m,sourcing,1,27,5.0,4,1,0,81
Operations,32,Bachelors,m,other,1,35,3.0,6,0,0,74
Operations,20,Masters & above,f,other,1,33,5.0,3,0,0,75
Sales & Marketing,11,Bachelors,m,other,1,24,1.0,2,0,0,47
Technology,22,Masters & above,m,other,1,43,1.0,12,0,0,78
Sales & Marketing,31,Bachelors,m,other,1,33,5.0,3,1,0,52
Procurement,10,Masters & above,f,other,1,45,3.0,17,0,0,73
Sales & Marketing,19,Bachelors,m,sourcing,3,35,4.0,7,1,0,51
Procurement,7,Bachelors,f,other,2,40,3.0,10,0,0,70
Operations,26,Bachelors,m,other,1,28,3.0,4,0,0,90
Procurement,2,Bachelors,m,other,1,36,4.0,9,0,0,63
Procurement,34,Bachelors,m,other,1,28,3.0,5,1,0,68
HR,25,Bachelors,f,other,1,26,3.0,2,0,0,50
Procurement,15,Masters & above,f,sourcing,1,35,1.0,10,0,0,67
Operations,2,Masters & above,m,other,1,42,5.0,12,0,0,74
Operations,15,Bachelors,f,other,1,33,4.0,5,1,0,57
Sales & Marketing,22,Masters & above,m,sourcing,1,46,4.0,5,0,0,47
Finance,13,Masters & above,m,other,2,33,5.0,7,1,0,57
Procurement,8,Masters & above,f,other,1,31,3.0,5,0,0,67
HR,15,Bachelors,m,other,1,30,3.0,7,0,0,44
Sales & Marketing,13,Bachelors,m,other,1,34,2.0,8,0,0,49
Analytics,21,Bachelors,m,other,1,26,3.0,3,0,0,87
Legal,2,Bachelors,m,sourcing,1,43,5.0,6,0,0,58
Sales & Marketing,4,Masters & above,f,other,1,36,4.0,3,1,0,48
Operations,2,Bachelors,f,sourcing,1,33,4.0,9,1,0,55
Technology,7,Masters & above,m,sourcing,1,47,5.0,15,1,0,80
Sales & Marketing,2,Masters & above,m,other,2,36,5.0,4,1,0,49
Procurement,11,Bachelors,m,sourcing,1,36,5.0,8,1,0,67
Sales & Marketing,11,Bachelors,m,sourcing,1,47,3.0,11,0,0,50
Technology,4,Masters & above,m,sourcing,1,42,4.0,3,0,0,83
Operations,14,Bachelors,m,sourcing,1,41,3.0,3,0,0,62
Procurement,22,Bachelors,m,referred,3,27,5.0,3,1,0,67
Analytics,3,Bachelors,m,other,2,30,3.0,2,1,1,84
R&D,2,Bachelors,m,sourcing,2,33,5.0,10,1,0,85
Analytics,11,Bachelors,m,other,2,26,5.0,3,0,0,82
Operations,2,Bachelors,m,sourcing,1,30,4.0,4,1,0,57
Operations,14,Bachelors,m,other,1,32,1.0,3,1,0,58
Technology,31,Bachelors,f,sourcing,1,32,3.0,4,0,0,77
Operations,27,Bachelors,f,sourcing,2,28,5.0,3,1,1,60
Technology,2,Bachelors,m,sourcing,1,30,3.0,6,1,0,81
Operations,2,Bachelors,m,sourcing,1,55,3.0,4,0,0,54
Procurement,19,Bachelors,m,other,1,38,3.0,5,0,0,71
Operations,7,Masters & above,f,other,1,55,5.0,14,1,0,93
Sales & Marketing,23,Masters & above,m,sourcing,2,35,1.0,5,0,0,47
Sales & Marketing,2,Bachelors,m,other,1,29,4.0,2,0,0,58
Sales & Marketing,26,Bachelors,m,other,2,34,3.0,3,0,0,52
Procurement,12,Bachelors,m,sourcing,1,29,5.0,2,1,0,74
Analytics,32,Bachelors,m,sourcing,1,27,5.0,3,0,0,78
Procurement,2,Bachelors,m,sourcing,1,47,2.0,18,0,0,71
Sales & Marketing,4,Bachelors,m,sourcing,1,53,4.0,7,0,0,50
Operations,29,Bachelors,m,other,1,31,3.0,5,0,0,69
Operations,7,Bachelors,f,sourcing,1,38,4.0,3,0,0,62
Analytics,16,Bachelors,m,other,1,26,4.0,4,0,0,88
Analytics,7,Bachelors,f,other,1,34,1.0,4,0,0,86
Analytics,22,Bachelors,m,sourcing,2,28,3.0,6,0,0,88
Sales & Marketing,13,Bachelors,m,other,1,46,5.0,16,1,0,51
Legal,2,Masters & above,m,other,1,45,1.0,15,0,0,63
Analytics,2,Bachelors,m,other,2,34,3.0,7,1,0,85
Finance,27,Bachelors,f,other,1,28,4.0,6,1,0,72
HR,2,Bachelors,f,sourcing,1,40,1.0,11,0,0,50
Finance,23,Masters & above,m,sourcing,3,36,3.0,7,0,0,58
Analytics,7,Masters & above,m,other,1,42,4.0,6,0,0,87
Sales & Marketing,22,Masters & above,m,sourcing,2,36,1.0,10,0,0,45
Procurement,7,Bachelors,f,sourcing,1,33,1.0,6,0,1,69
Technology,1,Masters & above,f,sourcing,1,36,2.0,5,0,0,77
Sales & Marketing,10,Masters & above,m,sourcing,1,34,1.0,7,0,0,46
Sales & Marketing,13,Masters & above,m,other,1,49,4.0,5,0,0,51
Technology,16,Bachelors,f,other,1,33,3.0,5,0,0,81
Procurement,11,Masters & above,f,other,1,38,5.0,4,1,0,67
Sales & Marketing,19,Bachelors,m,sourcing,2,46,4.0,8,0,0,51
Operations,13,Masters & above,m,other,1,52,5.0,17,0,0,70
Technology,23,Bachelors,m,sourcing,1,31,5.0,6,1,1,93
Operations,22,Bachelors,m,other,1,42,4.0,14,1,0,61
Operations,5,Masters & above,m,other,1,39,3.0,10,0,0,58
Finance,2,Bachelors,f,other,1,28,4.0,6,1,0,61
Sales & Marketing,22,Bachelors,f,other,1,41,3.0,8,0,0,52
HR,2,Bachelors,m,other,1,44,3.0,16,0,0,48
Sales & Marketing,2,Bachelors,m,sourcing,1,38,3.0,4,1,0,46
Analytics,27,Bachelors,m,other,1,29,5.0,3,1,0,86
Operations,2,Masters & above,m,sourcing,1,53,3.0,11,0,0,60
Sales & Marketing,4,Bachelors,m,sourcing,2,27,1.0,4,0,0,48
Analytics,31,Bachelors,m,other,1,37,3.0,6,1,0,83
Operations,26,Masters & above,f,sourcing,1,32,4.0,6,1,0,59
Analytics,26,Bachelors,m,other,1,32,3.0,7,0,0,86
Sales & Marketing,2,Masters & above,m,other,2,37,3.0,3,1,0,53
Sales & Marketing,22,Bachelors,m,other,1,48,4.0,3,0,0,52
Sales & Marketing,13,Bachelors,m,other,1,32,4.0,3,0,0,55
Operations,7,Masters & above,m,sourcing,2,34,4.0,10,0,0,60
HR,2,Bachelors,m,other,1,31,3.0,2,0,0,48
Sales & Marketing,10,Masters & above,m,other,1,32,4.0,3,0,0,48
Procurement,2,Masters & above,m,other,1,45,1.0,3,1,0,70
Sales & Marketing,2,Bachelors,f,other,2,35,1.0,7,0,0,48
Sales & Marketing,4,Masters & above,m,sourcing,1,34,4.0,6,0,0,50
Procurement,4,Masters & above,m,sourcing,1,55,4.0,10,0,0,68
Technology,33,Bachelors,m,sourcing,1,48,3.0,6,0,0,81
Sales & Marketing,23,Masters & above,m,other,1,35,5.0,6,1,0,49
Analytics,29,Bachelors,m,other,2,32,1.0,7,0,0,87
HR,22,Masters & above,m,other,1,39,3.0,4,0,0,46
R&D,25,Masters & above,m,other,1,34,5.0,10,0,0,88
Finance,27,Bachelors,m,sourcing,1,31,3.0,5,1,0,57
Sales & Marketing,15,Bachelors,m,sourcing,2,28,4.0,8,1,0,47
Operations,5,Bachelors,f,sourcing,1,33,3.0,4,0,0,63
Sales & Marketing,4,Bachelors,f,other,1,33,4.0,3,0,0,49
Procurement,9,Bachelors,m,sourcing,1,27,1.0,3,1,0,71
Procurement,13,Bachelors,f,other,1,33,5.0,5,0,0,67
HR,23,Bachelors,m,other,1,32,3.0,4,1,1,51
Operations,26,Bachelors,f,other,1,34,5.0,5,1,0,59
Operations,15,Bachelors,f,other,1,32,3.0,6,1,0,57
Procurement,7,Masters & above,f,sourcing,1,47,3.0,4,0,0,69
Technology,2,Masters & above,f,other,2,36,2.0,2,1,0,81
Legal,2,Bachelors,m,sourcing,1,29,5.0,4,1,0,56
Sales & Marketing,2,Bachelors,f,sourcing,1,42,3.0,3,1,1,48
Analytics,34,Bachelors,m,sourcing,1,28,3.0,5,0,0,77
Procurement,7,Masters & above,m,sourcing,3,37,3.0,9,0,0,71
Sales & Marketing,2,Bachelors,m,sourcing,1,45,5.0,16,1,0,52
Procurement,13,Masters & above,m,sourcing,1,41,1.0,6,0,0,73
Procurement,17,Bachelors,m,sourcing,1,28,4.0,3,0,0,67
Analytics,7,Bachelors,m,other,1,33,5.0,4,1,0,85
Analytics,15,Bachelors,m,other,1,40,5.0,11,0,0,87
Sales & Marketing,2,Bachelors,m,other,2,58,1.0,6,0,0,46
Sales & Marketing,24,Bachelors,m,other,1,37,2.0,2,0,0,46
Sales & Marketing,30,Bachelors,m,other,1,32,5.0,4,0,0,48
Analytics,2,Masters & above,m,sourcing,1,40,3.0,11,0,0,87
Procurement,7,Bachelors,f,other,2,28,5.0,2,1,0,70
Operations,15,Bachelors,f,sourcing,1,31,5.0,5,0,0,61
Operations,15,Bachelors,f,other,1,39,4.0,4,0,0,55
Finance,7,Bachelors,m,other,1,34,3.0,5,0,0,58
Finance,22,Bachelors,m,other,2,27,1.0,2,0,0,61
Operations,2,Bachelors,f,other,1,33,4.0,8,0,0,71
Procurement,2,Bachelors,m,other,1,51,3.0,6,1,0,70
Technology,13,Masters & above,m,sourcing,1,54,3.0,14,0,0,79
Procurement,2,Bachelors,f,other,1,29,4.0,4,0,0,67
Technology,2,Masters & above,f,sourcing,1,56,5.0,16,1,0,79
Sales & Marketing,15,Bachelors,m,sourcing,1,27,3.0,3,0,0,51
Operations,32,Bachelors,m,other,1,33,3.0,6,1,0,56
Sales & Marketing,7,Bachelors,m,sourcing,1,41,1.0,5,1,0,46
Technology,23,Bachelors,f,sourcing,1,33,3.0,5,0,0,78
Procurement,2,Bachelors,f,other,1,56,4.0,24,0,0,67
Procurement,23,Masters & above,m,other,2,37,3.0,2,0,0,70
Technology,2,Bachelors,f,sourcing,2,28,3.0,2,0,0,81
Technology,7,Masters & above,m,referred,1,47,3.0,4,1,0,81
Operations,2,Bachelors,f,other,2,33,3.0,5,0,0,56
Operations,13,Bachelors,m,sourcing,1,35,4.0,4,0,0,62
Finance,23,Masters & above,m,other,1,40,5.0,6,1,0,56
Operations,27,Bachelors,f,other,1,40,3.0,12,0,0,61
Sales & Marketing,22,Bachelors,m,other,1,20,2.0,2,0,0,47
Procurement,2,Bachelors,f,other,1,40,3.0,6,0,0,68
Operations,27,Masters & above,m,sourcing,1,47,3.0,7,0,0,61
R&D,27,Masters & above,m,sourcing,1,33,1.0,8,0,0,83
Sales & Marketing,2,Masters & above,f,other,1,37,4.0,3,1,0,46
Sales & Marketing,24,Bachelors,m,sourcing,1,31,1.0,3,0,0,49
Operations,32,Bachelors,m,other,1,40,2.0,6,1,0,62
Technology,7,Bachelors,f,other,1,35,3.0,3,0,0,80
Operations,28,Bachelors,m,other,1,25,4.0,3,1,0,58
Sales & Marketing,2,Masters & above,m,sourcing,1,33,5.0,3,0,0,47
HR,2,Masters & above,m,other,1,43,5.0,5,1,0,53
Operations,7,Masters & above,m,sourcing,1,32,2.0,7,0,0,62
Operations,22,Bachelors,m,sourcing,1,36,5.0,3,1,0,57
HR,2,Masters & above,f,other,1,46,3.0,10,0,0,47
Sales & Marketing,7,Bachelors,f,sourcing,2,30,1.0,3,0,0,49
Legal,31,Masters & above,m,sourcing,1,35,3.0,7,0,0,60
Technology,2,Masters & above,f,other,2,35,3.0,9,0,0,81
Procurement,7,Masters & above,m,sourcing,1,57,1.0,16,1,0,73
Operations,22,Bachelors,m,other,2,34,3.0,3,0,0,64
Sales & Marketing,4,Bachelors,m,sourcing,1,26,5.0,4,0,0,48
Sales & Marketing,32,Bachelors,m,other,1,29,5.0,2,0,0,49
Sales & Marketing,32,Bachelors,f,sourcing,1,29,3.0,3,0,0,50
Legal,22,Bachelors,m,referred,1,29,3.0,4,0,0,55
Sales & Marketing,2,Masters & above,m,other,1,54,4.0,27,0,0,54
Operations,32,Bachelors,m,sourcing,1,33,3.0,7,0,0,60
Operations,2,Bachelors,f,other,1,49,4.0,11,0,0,58
Technology,10,Bachelors,m,other,1,26,3.0,3,0,0,80
Technology,10,Bachelors,m,other,1,33,3.0,6,0,0,82
Operations,6,Bachelors,m,sourcing,2,33,3.0,7,0,0,60
Operations,2,Bachelors,m,sourcing,1,41,3.0,10,0,0,61
Sales & Marketing,4,Masters & above,m,other,1,34,2.0,2,0,0,44
R&D,4,Masters & above,m,other,1,30,3.0,6,0,0,87
Operations,15,Bachelors,m,other,1,35,4.0,9,1,0,60
Operations,2,Bachelors,f,sourcing,2,29,5.0,2,1,0,62
HR,2,Masters & above,f,other,1,47,4.0,5,1,0,47
Technology,28,Bachelors,f,other,1,26,1.0,3,0,0,77
Analytics,22,Bachelors,m,sourcing,1,32,3.0,6,0,0,83
Operations,2,Masters & above,f,sourcing,1,51,3.0,7,0,0,63
Procurement,13,Masters & above,m,other,1,46,2.0,6,0,0,71
Technology,27,Bachelors,m,sourcing,1,37,4.0,6,1,0,82
Analytics,28,Masters & above,m,other,2,41,5.0,7,1,0,86
Sales & Marketing,6,Bachelors,m,other,1,38,3.0,14,0,0,46
Sales & Marketing,13,Masters & above,m,sourcing,1,45,3.0,7,1,0,50
Operations,2,Bachelors,f,other,1,39,4.0,13,1,0,60
Finance,7,Masters & above,m,sourcing,1,33,1.0,7,0,0,64
Sales & Marketing,10,Masters & above,m,sourcing,1,38,5.0,9,0,0,52
Sales & Marketing,16,Bachelors,m,other,1,26,5.0,2,0,0,48
Procurement,13,Bachelors,m,sourcing,1,31,5.0,6,0,0,71
Procurement,31,Masters & above,m,other,1,37,5.0,5,1,0,73
Sales & Marketing,26,Bachelors,m,sourcing,1,31,5.0,3,0,0,48
Sales & Marketing,19,Bachelors,m,sourcing,1,28,2.0,2,0,0,54
Finance,2,Masters & above,m,sourcing,1,34,1.0,8,0,0,58
Procurement,16,Masters & above,m,other,2,34,3.0,2,0,0,68
Procurement,27,Masters & above,m,sourcing,1,42,4.0,4,1,0,76
Finance,2,Masters & above,f,other,1,50,3.0,4,0,0,56
HR,2,Masters & above,f,sourcing,1,42,5.0,5,0,0,50
Operations,27,Bachelors,m,other,1,47,3.0,18,0,0,59
Procurement,21,Bachelors,m,sourcing,1,29,3.0,4,1,0,70
Operations,2,Bachelors,f,other,1,31,3.0,3,1,0,59
Operations,34,Bachelors,m,sourcing,1,40,3.0,5,0,0,56
Operations,22,Bachelors,m,sourcing,1,34,5.0,9,0,0,81
Finance,15,Bachelors,m,other,1,31,3.0,4,0,0,57
Operations,22,Bachelors,f,sourcing,1,44,5.0,3,1,0,58
Procurement,7,Bachelors,f,sourcing,1,33,3.0,6,0,0,67
Sales & Marketing,24,Bachelors,m,sourcing,1,29,3.0,2,0,0,51
Operations,4,Masters & above,f,sourcing,1,33,5.0,6,1,1,93
Operations,22,Bachelors,f,other,1,33,5.0,9,1,0,57
Operations,2,Bachelors,f,sourcing,1,59,3.0,12,0,0,60
Operations,2,Masters & above,m,other,1,40,4.0,7,1,0,58
Technology,7,Bachelors,m,sourcing,2,32,4.0,5,0,0,78
Sales & Marketing,7,Bachelors,m,other,1,28,5.0,4,0,1,63
Operations,2,Bachelors,m,sourcing,1,48,3.0,7,1,0,62
Operations,19,Bachelors,m,other,1,32,4.0,7,1,0,54
Sales & Marketing,23,Bachelors,m,sourcing,2,30,4.0,7,0,0,51
Operations,21,Bachelors,m,other,1,33,4.0,9,0,0,60
Finance,22,Bachelors,f,sourcing,1,28,3.0,3,0,0,57
Sales & Marketing,16,Masters & above,m,sourcing,1,37,4.0,4,0,0,54
Sales & Marketing,2,Bachelors,m,other,1,32,4.0,4,1,0,51
Sales & Marketing,2,Bachelors,f,other,1,31,1.0,3,1,0,48
Sales & Marketing,2,Bachelors,m,other,2,40,4.0,10,1,0,52
Analytics,26,Bachelors,m,other,2,30,3.0,9,0,0,85
Sales & Marketing,32,Bachelors,f,other,1,32,5.0,5,1,0,49
Procurement,27,Masters & above,f,sourcing,1,34,4.0,7,0,0,74
Procurement,11,Masters & above,m,sourcing,1,50,3.0,18,0,0,71
Analytics,7,Bachelors,m,sourcing,1,29,3.0,2,0,0,84
Sales & Marketing,16,Bachelors,m,sourcing,2,32,1.0,3,0,0,53
Operations,27,Bachelors,f,other,1,34,3.0,3,1,0,64
Finance,13,Bachelors,m,other,2,29,3.0,2,0,0,59
Procurement,16,Bachelors,f,sourcing,1,26,3.0,3,0,0,72
Operations,15,Bachelors,f,other,1,32,3.0,7,1,0,60
Technology,2,Masters & above,f,sourcing,1,32,1.0,5,0,0,78
Procurement,27,Bachelors,m,other,1,43,5.0,4,0,1,81
Analytics,22,Masters & above,m,other,2,41,3.0,2,1,1,84
HR,2,Bachelors,m,sourcing,1,27,1.0,2,0,0,48
R&D,2,Bachelors,m,other,1,27,5.0,2,0,0,79
Technology,7,Bachelors,f,other,1,29,1.0,5,0,0,79
Technology,2,Bachelors,m,sourcing,1,60,2.0,5,0,0,81
Sales & Marketing,5,Bachelors,m,other,2,28,3.0,5,0,0,51
Operations,22,Bachelors,f,sourcing,1,26,1.0,3,0,0,55
Technology,13,Bachelors,f,sourcing,1,29,3.0,7,0,0,75
Sales & Marketing,7,Bachelors,m,other,1,24,4.0,2,0,0,50
Procurement,26,Bachelors,f,other,2,49,5.0,22,1,0,71
HR,2,Bachelors,f,sourcing,1,37,5.0,9,0,0,60
Procurement,2,Masters & above,m,sourcing,1,45,5.0,3,1,0,74
Procurement,7,Masters & above,f,other,2,35,3.0,9,1,0,67
Sales & Marketing,13,Bachelors,m,sourcing,2,29,1.0,2,0,0,45
HR,25,Masters & above,m,sourcing,1,49,4.0,8,0,0,51
Sales & Marketing,25,Bachelors,m,other,2,29,5.0,5,1,0,52
Analytics,30,Bachelors,m,other,2,30,2.0,3,1,0,81
Sales & Marketing,2,Bachelors,m,other,3,31,3.0,5,0,0,45
Sales & Marketing,25,Bachelors,m,other,1,33,5.0,10,0,0,58
Sales & Marketing,2,Bachelors,m,other,2,27,5.0,3,1,0,50
Procurement,13,Bachelors,f,sourcing,1,33,2.0,4,0,0,75
Technology,16,Bachelors,f,other,1,27,4.0,4,0,0,81
Finance,27,Bachelors,m,sourcing,1,24,3.0,3,0,0,66
Procurement,13,Masters & above,f,other,1,32,3.0,5,1,0,67
Operations,7,Masters & above,f,sourcing,1,35,3.0,7,0,0,59
Operations,19,Masters & above,m,sourcing,1,34,3.0,9,0,0,60
Analytics,26,Bachelors,f,other,1,30,4.0,6,1,0,84
Sales & Marketing,15,Bachelors,m,other,1,45,3.0,14,0,0,51
Technology,13,Bachelors,f,other,1,34,3.0,2,0,0,72
Sales & Marketing,2,Bachelors,m,other,1,27,1.0,3,0,0,45
Technology,2,Bachelors,m,other,1,28,1.0,4,0,0,76
Operations,22,Bachelors,m,other,1,34,3.0,7,0,0,59
Technology,34,Bachelors,m,other,1,30,4.0,4,1,0,81
Sales & Marketing,17,Bachelors,m,sourcing,2,37,3.0,7,0,0,49
Procurement,15,Bachelors,f,sourcing,1,36,3.0,2,0,0,69
Sales & Marketing,16,Bachelors,f,sourcing,1,32,1.0,3,0,0,50
Sales & Marketing,4,Masters & above,f,sourcing,1,32,3.0,6,0,0,49
Sales & Marketing,7,Bachelors,m,other,1,30,5.0,7,1,0,49
Analytics,20,Bachelors,m,sourcing,2,30,4.0,3,0,0,80
Operations,2,Masters & above,f,other,1,36,5.0,8,1,0,62
Finance,7,Masters & above,m,sourcing,2,33,3.0,2,1,0,94
Procurement,2,Bachelors,f,other,1,41,3.0,13,0,0,71
Analytics,31,Bachelors,f,sourcing,1,30,3.0,6,0,0,87
Technology,17,Masters & above,f,sourcing,1,41,1.0,14,0,0,80
Operations,8,Bachelors,f,sourcing,1,33,3.0,10,0,0,65
Procurement,22,Bachelors,m,referred,2,27,5.0,3,1,0,71
Analytics,22,Bachelors,m,other,2,30,2.0,7,1,0,96
Procurement,2,Masters & above,m,other,1,50,5.0,7,0,1,98
Finance,32,Bachelors,m,other,1,29,1.0,2,0,0,61
Technology,13,Masters & above,f,other,1,59,3.0,4,0,0,79
Operations,20,Bachelors,m,sourcing,1,31,2.0,3,0,0,56
Procurement,2,Masters & above,m,sourcing,1,42,4.0,4,0,0,69
HR,22,Bachelors,m,other,1,27,1.0,3,0,0,52
Operations,11,Bachelors,f,sourcing,1,35,5.0,2,0,0,57
Operations,32,Bachelors,m,other,1,27,4.0,4,0,0,61
Analytics,2,Masters & above,m,sourcing,1,52,4.0,11,0,0,82
Procurement,31,Masters & above,m,sourcing,1,39,3.0,10,0,0,68
Technology,7,Bachelors,m,sourcing,1,28,1.0,2,0,0,80
Operations,2,Masters & above,f,sourcing,1,51,4.0,19,0,0,60
Procurement,26,Masters & above,m,sourcing,1,34,5.0,10,1,0,69
Technology,28,Masters & above,f,sourcing,1,36,3.0,5,0,0,82
Technology,24,Bachelors,f,sourcing,1,28,3.0,3,1,0,78
Procurement,2,Bachelors,m,other,1,49,3.0,16,1,0,69
Operations,15,Bachelors,m,other,1,46,2.0,8,0,0,62
Finance,31,Bachelors,m,other,2,34,5.0,8,0,0,64
Technology,25,Masters & above,m,other,1,34,3.0,3,0,0,76
Operations,27,Bachelors,f,other,1,42,5.0,5,1,0,63
Operations,14,Bachelors,m,other,1,30,3.0,8,0,0,54
Technology,22,Bachelors,f,sourcing,1,28,4.0,4,0,0,79
Technology,2,Bachelors,m,sourcing,1,29,4.0,2,0,0,75
Analytics,30,Bachelors,m,other,1,28,1.0,7,0,0,82
Operations,2,Bachelors,m,other,1,59,2.0,6,0,0,60
Operations,22,Masters & above,m,other,1,49,5.0,15,1,0,57
Operations,26,Masters & above,m,other,1,35,3.0,7,0,0,57
Technology,28,Masters & above,m,sourcing,1,31,5.0,3,1,0,80
HR,2,Below Secondary,m,other,1,26,4.0,4,1,0,48
Operations,4,Masters & above,m,other,1,33,4.0,3,0,1,69
Sales & Marketing,23,Masters & above,m,other,1,45,1.0,18,0,0,47
Procurement,2,Masters & above,f,other,1,41,4.0,10,1,0,69
HR,2,Masters & above,f,other,1,34,4.0,3,1,0,52
Operations,26,Bachelors,m,other,1,41,5.0,10,1,0,61
Procurement,13,Bachelors,m,other,1,30,3.0,4,0,0,74
Operations,3,Bachelors,m,other,1,27,3.0,3,0,0,62
Sales & Marketing,22,Bachelors,m,other,2,41,3.0,2,0,0,49
Analytics,29,Bachelors,m,sourcing,1,30,3.0,6,0,0,82
Technology,2,Bachelors,m,other,1,28,4.0,6,1,0,84
Operations,26,Bachelors,f,sourcing,1,36,4.0,8,0,0,62
Operations,22,Masters & above,f,sourcing,1,39,5.0,5,0,0,61
Procurement,13,Bachelors,f,sourcing,1,37,3.0,3,1,0,68
Operations,26,Masters & above,m,sourcing,1,44,2.0,7,1,0,58
Finance,4,Masters & above,f,sourcing,2,33,3.0,9,0,0,58
Procurement,17,Masters & above,f,other,2,39,3.0,3,0,0,67
Operations,9,Bachelors,m,sourcing,1,27,3.0,4,1,0,61
Sales & Marketing,14,Bachelors,f,other,1,37,5.0,3,0,0,52
Sales & Marketing,13,Bachelors,m,other,1,38,2.0,10,0,0,49
Operations,13,Masters & above,m,other,1,32,4.0,3,0,0,62
HR,2,Masters & above,f,sourcing,1,60,5.0,10,1,0,50
Finance,6,Bachelors,f,other,1,25,5.0,2,1,0,62
Analytics,2,Bachelors,m,sourcing,4,34,3.0,8,0,0,81
Sales & Marketing,13,Bachelors,f,other,1,29,1.0,2,1,0,51
Procurement,26,Bachelors,m,other,1,43,3.0,3,0,0,67
Technology,17,Bachelors,m,other,1,32,3.0,4,0,0,80
Operations,16,Bachelors,m,sourcing,1,50,4.0,11,0,0,56
Operations,15,Bachelors,m,other,1,29,3.0,4,0,0,58
Analytics,29,Bachelors,m,sourcing,1,28,5.0,5,1,0,85
Procurement,2,Bachelors,f,sourcing,1,57,1.0,2,0,0,66
Procurement,14,Masters & above,f,other,1,35,3.0,7,1,0,70
Sales & Marketing,12,Bachelors,m,other,1,25,3.0,2,0,0,47
Sales & Marketing,2,Bachelors,m,sourcing,1,41,1.0,12,0,0,49
Operations,14,Masters & above,f,sourcing,1,34,4.0,6,0,0,57
R&D,4,Masters & above,m,other,1,34,5.0,3,0,0,87
Operations,26,Bachelors,f,other,1,33,4.0,4,1,0,58
Technology,22,Bachelors,f,other,1,27,3.0,3,0,0,79
R&D,11,Bachelors,m,sourcing,1,31,5.0,4,1,0,87
Sales & Marketing,22,Masters & above,m,sourcing,1,31,3.0,6,0,0,46
HR,5,Masters & above,m,other,1,37,5.0,4,0,1,64
Technology,2,Masters & above,f,sourcing,1,53,4.0,12,0,0,76
Operations,22,Masters & above,m,other,1,44,3.0,11,0,0,64
Sales & Marketing,20,Bachelors,m,sourcing,1,39,4.0,7,0,0,50
Operations,15,Bachelors,m,other,1,38,1.0,9,1,0,59
Operations,4,Bachelors,m,other,1,52,5.0,4,1,0,60
Analytics,28,Bachelors,m,other,2,31,3.0,5,1,0,78
Sales & Marketing,2,Masters & above,m,referred,1,38,4.0,9,1,0,53
Analytics,15,Bachelors,m,sourcing,2,35,3.0,9,0,0,83
Sales & Marketing,8,Bachelors,m,sourcing,1,31,2.0,5,1,0,50
Sales & Marketing,2,Bachelors,f,sourcing,1,34,4.0,5,0,0,49
Finance,2,Bachelors,m,other,1,51,5.0,13,0,0,59
